=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.27 14:02:26 =~=~=~=~=~=~=~=~=~=~=~=

RFM69 radio init OK!
one circle time, sleep_time, awake time, set_sleepTime, set_buffer, set_sendtoWait, set_send, set_randomTime_in_sendtoWait, set_waitAvailableTimeout, waitAvailableTimeout_within_numTimes
25.00, 12, 13.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 625
49.00, 40, 9.00, 0.00, 2.00, 8.00, 2.00, 0.00, 6.00, 354
11.00, 1, 10.00, 0.00, 0.00, 11.00, 5.00, 0.00, 6.00, 376
88.00, 76, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 583
51.00, 41, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 434
76.00, 65, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 481
60.00, 48, 12.00, 0.00, 0.00, 13.00, 4.00, 0.00, 9.00, 528
69.00, 57, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 620
24.00, 15, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 391
25.00, 15, 10.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 397
10.00, 1, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 367
35.00, 24, 11.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 343
43.00, 32, 11.00, 0.00, 2.00, 10.00, 2.00, 0.00, 8.00, 499
13.00, 1, 12.00, 0.00, 0.00, 13.00, 5.00, 0.00, 8.00, 516
14.00, 4, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 457
66.00, 57, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 325
21.00, 8, 13.00, 2.00, 0.00, 11.00, 2.00, 0.00, 9.00, 467
94.00, 84, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 446
33.00, 22, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 482
